更新时间,#genre#
2026-01-07 08:29:43,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
最新QQ群,#genre#
防失联QQ群,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
218425494,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

央视,#genre#
CCTV1,http://116.233.22.3:4022/rtp/233.18.204.52:5140
CCTV1,http://116.233.22.3:4022/rtp/233.18.204.168:5140
CCTV1,http://116.233.22.3:4022/rtp/239.45.3.145:5140
CCTV1,http://116.233.22.3:4022/rtp/239.45.3.88:5140
CCTV1,http://116.233.22.3:4022/rtp/239.45.3.51:5140
CCTV2,http://116.233.22.3:4022/rtp/233.18.204.68:5140
CCTV2,http://116.233.22.3:4022/rtp/239.45.3.208:5140
CCTV2,http://116.233.22.3:4022/rtp/239.45.0.1:5140
CCTV3,http://116.233.22.3:4022/rtp/233.18.204.69:5140
CCTV3,http://116.233.22.3:4022/rtp/239.45.1.68:5140
CCTV4,http://116.233.22.3:4022/rtp/233.18.204.70:5140
CCTV4,http://116.233.22.3:4022/rtp/239.45.0.2:5140
CCTV5,http://116.233.22.3:4022/rtp/233.18.204.71:5140
CCTV5,http://116.233.22.3:4022/rtp/239.45.1.69:5140
CCTV5+,http://116.233.22.3:4022/rtp/233.18.204.67:5140
CCTV5+,http://116.233.22.3:4022/rtp/239.45.0.34:5140
CCTV6,http://116.233.22.3:4022/rtp/233.18.204.72:5140
CCTV6,http://116.233.22.3:4022/rtp/239.45.1.70:5140
CCTV7,http://116.233.22.3:4022/rtp/233.18.204.73:5140
CCTV7,http://116.233.22.3:4022/rtp/239.45.3.56:5140
CCTV8,http://116.233.22.3:4022/rtp/233.18.204.74:5140
CCTV8,http://116.233.22.3:4022/rtp/239.45.1.71:5140
CCTV9,http://116.233.22.3:4022/rtp/233.18.204.75:5140
CCTV9,http://116.233.22.3:4022/rtp/239.45.3.4:5140
CCTV10,http://116.233.22.3:4022/rtp/233.18.204.76:5140
CCTV10,http://116.233.22.3:4022/rtp/239.45.3.8:5140
CCTV11,http://116.233.22.3:4022/rtp/233.18.204.77:5140
CCTV11,http://116.233.22.3:4022/rtp/239.45.0.18:5140
CCTV12,http://116.233.22.3:4022/rtp/233.18.204.78:5140
CCTV12,http://116.233.22.3:4022/rtp/239.45.3.124:5140
